EEE Category,Recycled 2023,Recycled 2024,Recycled 2025,Total units recycled,Non-recycled 2023,Non-recycled 2024,Non-recycled 2025,Total units non-recycled,Total Disposed,Recycling Rate %,Improvement Potential (Total Disposed / Recycling Rate %)
Temperature Exchange Equipment,122,102,59,283,653,981,1093,2727,3010,9.4,320.0
Large Equipment,30,10,49,89,423,115,599,1137,1226,7.3,168.0
"Screens, Monitors and Equipment Containing Screens",115,105,27,247,914,681,144,1739,1986,12.4,160.0
Small IT and Telecommunications Equipment,147,41,19,207,910,481,123,1514,1721,12.0,143.0
Lamps,80,49,110,239,369,427,668,1464,1703,14.0,122.0
Small Equipment,42,40,66,148,174,344,295,813,961,15.4,62.0
TOTAL,536,347,330,1213,3443,3029,2922,9394,10607,11.4,
