EEE Category,2023,2024,2025,Total Acquisitions All Years Combined,Average,Total Acquisition Rate in %
Lamps,1022.0,2367.0,1662.0,5051.0,1684.0,16.0
Large Equipment,2247.0,570.0,2439.0,5256.0,1752.0,17.0
"Screens, Monitors and Equipment Containing Screens",2520.0,2592.0,676.0,5788.0,1929.0,18.0
Small Equipment,554.0,661.0,1661.0,2876.0,959.0,9.0
Small IT and Telecommunications Equipment,2068.0,1946.0,713.0,4727.0,1576.0,15.0
Temperature Exchange Equipment,2476.0,2984.0,2401.0,7861.0,2620.0,25.0
TOTAL,10887.0,11120.0,9552.0,31559.0,3006.0,100.0
